name,sub_region,description,tier,type,lat,lon
"Pamukkale Travertenleri","Denizli","Snow-white calcium terraces cascade down the hillside in warm turquoise pools you can wade through at sunset","iconic","thermal","37.92","29.12"
"Kabak Koyu","Fethiye, Muğla","A steep pine-cloaked bay where hammocks, waterfalls and a wild pebble beach reward the long walk down","known","sea beach","36.49","29.13"
"Kapuzbaşı Şelaleleri","Yahyalı, Kayseri","Seven thunderous falls burst straight out of the Aladağlar cliff face in the middle of nowhere","local_secret","waterfall","37.85","35.55"
"Sülüklü Göl","Düzce","A tiny mirror-still lake hidden deep in dense Kardüz forest, wrapped in mist and birdsong","hidden","lake","40.75","31.05"
"Ölüdeniz Mavi Lagün","Fethiye, Muğla","The postcard blue lagoon where a sandbar curls into impossibly calm turquoise water","iconic","sea beach","36.55","29.12"
"Köprülü Kanyon","Manavgat, Antalya","A roaring river slices through a 14-km limestone gorge perfect for rafting under ancient Roman bridges","known","canyon","37.16","31.18"
"Horma Kanyonu","Pınarbaşı, Kastamonu","A wooden boardwalk hugs the cliff over emerald water deep in the Küre Mountains' fairy-tale gorge","local_secret","canyon","41.65","33.55"
"Yazılı Kanyon","Sütçüler, Isparta","An ancient-road canyon of cold plunge pools and plane trees where you swim between sheer rock walls","hidden","canyon","37.55","31.05"
"Kaputaş Plajı","Kaş, Antalya","A dazzling turquoise cove at the foot of a gorge, reached by a long staircase off the coastal road","iconic","sea beach","36.24","29.42"
"Abant Gölü","Bolu","A serene crater-blue lake ringed by fir forest, magical when autumn mist rises off the water","known","lake","40.60","31.28"
"Gilindire","Aynalıgöl) Mağarası (Aydıncık, Mersin","A sea-cliff cave hiding an underground lake of glassy brackish water 45 meters deep","local_secret","cave","36.13","33.32"
"Sırakayalar Şelalesi","Zonguldak","A hidden woodland cascade tumbling over mossy black rock just minutes from the coal city","hidden","waterfall","41.35","31.85"
"Kelebekler Vadisi","Fethiye, Muğla","A boat-only canyon beach where clouds of butterflies swirl above a stream and hidden waterfall","iconic","sea beach","36.53","29.10"
"Ihlara Vadisi","Aksaray","A green river-carved gorge lined with rock-cut Byzantine churches and shady poplar cafés","known","canyon","38.25","34.30"
